year,frequency
1950,6.2811715828559045e-09
1951,6.825905396468102e-10
1952,3.055937058960012e-09
1953,2.9271145507436813e-09
1954,4.295984901148131e-09
1955,4.592626279276146e-09
1956,1.6705417493767527e-08
1957,6.570165744790302e-09
1958,2.190241055188835e-08
1959,3.283175331603161e-08
1960,1.2686297168329475e-07
1961,6.372145122668371e-08
1962,2.4068049242487177e-07
1963,1.415022978790148e-07
1964,1.1144194900225557e-07
1965,1.438320964552986e-07
1966,1.4772642487059784e-07
1967,1.6953902104432927e-07
1968,1.67879775858637e-07
1969,1.7555863962570584e-07
1970,1.556802402546964e-07
1971,2.0680859336152935e-07
1972,2.238042782209959e-07
1973,2.182031266784179e-07
1974,2.561382075327856e-07
1975,2.8292350862102467e-07
1976,2.477839871062315e-07
1977,4.0496612996321346e-07
1978,3.5803191167360637e-07
1979,4.36903178524517e-07
1980,4.7278811621254135e-07
1981,5.614707561107934e-07
1982,7.678644919906219e-07
1983,1.0644648682500701e-06
1984,1.5922117881927988e-06
1985,2.133699808837264e-06
1986,2.5590670702513307e-06
1987,2.608469685583259e-06
1988,2.6233205971948337e-06
1989,2.3581501409353223e-06
1990,2.3011045868770452e-06
1991,2.0513432446023216e-06
1992,1.7892286905407673e-06
1993,1.5609347201461787e-06
1994,1.5082192703630426e-06
1995,1.4014060525369132e-06
1996,1.1695765351760201e-06
1997,1.1503653922773083e-06
1998,1.051384856509685e-06
1999,9.81740299721423e-07
2000,1.010235564535833e-06
2001,9.769657935976284e-07
2002,1.03808429230412e-06
2003,9.800041880225763e-07
2004,9.894120012177154e-07
2005,9.772514886208228e-07
2006,8.999641636364686e-07
2007,8.640046758046083e-07
2008,9.118717230194306e-07
2009,8.529323167749681e-07
2010,8.226492695939669e-07
2011,9.134424772128114e-07
2012,1.1049119166273158e-06
2013,1.0230609177597216e-06
2014,1.0224770221611834e-06
2015,9.197185022458143e-07
2016,1.1347966619723593e-06
2017,1.384348024657811e-06
2018,2.057323854387505e-06
2019,3.128641765215434e-06
