Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2022,"Iraq ",146,0.43830,0.21590,0.20600,0.58880,0.52010
2022,"Ireland ",30,0.85670,0.68180,0.77960,0.96180,0.82870
2022,"Israel ",16,0.88850,0.71590,0.87450,0.89940,0.89150
2022,"Italy ",37,0.83750,0.72730,0.86590,0.86060,0.78600
2022,"Jamaica ",102,0.59060,0.28410,0.49140,0.71480,0.56580
2022,"Japan ",14,0.90020,1.00000,0.90940,0.87650,0.91470
2022,"Jordan ",100,0.60810,0.54550,0.65940,0.69670,0.46810
2022,"Kazakhstan ",28,0.86280,0.80680,0.93440,0.90210,0.75200
2022,"Kenya ",113,0.55890,0.57950,0.68210,0.56410,0.43050
2022,"Kiribati ",148,0.43340,0.29550,0.36860,0.67850,0.25300
2022,"Kuwait ",61,0.74840,0.54550,0.69730,0.77060,0.77740
2022,"Kyrgyzstan ",81,0.69770,0.50000,0.61760,0.81190,0.66370
2022,"Lao People's Democratic Republic ",159,0.37640,0.26140,0.30050,0.54680,0.28200
2022,"Latvia ",29,0.85990,0.73860,0.81350,0.92840,0.83780
2022,"Lebanon ",122,0.52730,0.39770,0.42570,0.66560,0.49070
2022,"Lesotho ",145,0.44140,0.30680,0.34560,0.59500,0.38360
2022,"Liberia ",177,0.29050,0.29550,0.34170,0.41840,0.11150
2022,Libya,169,0.33750,0.03410,0.09900,0.75340,0.16010
2022,Liechtenstein,25,0.86850,0.54550,0.73290,0.87260,1.00000
2022,"Lithuania ",24,0.87450,0.54550,0.83470,0.92510,0.86360
2022,Luxembourg,26,0.86750,0.75000,0.83190,0.82450,0.94620
2022,"Madagascar ",163,0.35650,0.28410,0.35150,0.53600,0.18200
2022,"Malawi ",167,0.34350,0.37500,0.36070,0.48840,0.18150
2022,Malaysia,53,0.77400,0.68180,0.76300,0.76450,0.79450
2022,Maldives,104,0.58850,0.30680,0.48730,0.69370,0.58450
2022,"Mali ",168,0.34140,0.27270,0.36520,0.21930,0.43980
2022,"Malta ",15,0.89430,0.76140,0.88490,0.87340,0.92450
2022,"Marshall Islands ",160,0.37140,0.26140,0.30040,0.69030,0.12360
2022,"Mauritania ",172,0.31570,0.02270,0.09520,0.38730,0.46480
2022,Afghanistan,184,0.27100,0.19320,0.27700,0.34930,0.18670
2022,"Mauritius ",75,0.72010,0.42050,0.62820,0.77330,0.75880
2022,"Mexico ",62,0.74730,0.72730,0.82450,0.78740,0.63000
2022,"Micronesia (Federated States of) ",164,0.35500,0.21590,0.27030,0.68450,0.11020
2022,"Monaco ",73,0.72280,0.13640,0.45880,0.83020,0.87940
2022,"Mongolia ",74,0.72090,0.60230,0.62630,0.83910,0.69730
2022,Montenegro,71,0.72600,0.46590,0.55280,0.83830,0.78680
2022,"Albania ",63,0.74130,0.76140,0.81820,0.80220,0.60370
2022,"Algeria ",112,0.56110,0.22730,0.37430,0.69560,0.61330
2022,"Andorra ",76,0.71770,0.37500,0.51330,0.75850,0.88120
2022,"Angola ",157,0.37890,0.17050,0.47160,0.46480,0.20040
2022,"Antigua and Barbuda ",99,0.61130,0.42050,0.42310,0.81280,0.59810
2022,"Argentina ",41,0.81980,0.64770,0.80890,0.91730,0.73320
2022,"Armenia ",64,0.73640,0.57950,0.72210,0.79450,0.69250
2022,"Morocco ",101,0.59150,0.27270,0.47210,0.63500,0.66760
2022,"Mozambique ",173,0.31300,0.19320,0.35630,0.42900,0.15370
2022,"Myanmar ",134,0.49940,0.30680,0.30730,0.58290,0.60820
2022,"Namibia ",121,0.53220,0.25000,0.43160,0.65160,0.51330
2022,"Nauru ",139,0.45480,0.25000,0.29520,0.59250,0.47680
2022,"Dominica ",109,0.57890,0.09090,0.29540,0.68100,0.76040
2022,"Dominican Republic ",92,0.64290,0.45450,0.61830,0.75390,0.55670
2022,"Ecuador ",84,0.68890,0.70450,0.76510,0.77480,0.52690
2022,"Egypt ",103,0.58950,0.35230,0.57300,0.63750,0.55790
2022,"El Salvador ",117,0.55190,0.35230,0.46700,0.62680,0.56180
2022,"Equatorial Guinea ",183,0.27460,0.15910,0.18450,0.50310,0.13630
2022,"Eritrea ",190,0.17090,0.02270,0.00000,0.42900,0.08370
2022,"Estonia ",8,0.93930,0.97730,1.00000,0.92310,0.89490
2022,"Nepal ",125,0.51170,0.23860,0.45920,0.56360,0.51230
2022,"Netherlands ",9,0.93840,0.96590,0.90260,0.95060,0.96200
2022,"New Zealand ",4,0.94320,0.95450,0.95790,0.98230,0.88960
2022,"Nicaragua ",130,0.50320,0.25000,0.48090,0.60000,0.42870
2022,"Niger ",188,0.24060,0.25000,0.39040,0.19150,0.14000
2022,"Nigeria ",140,0.45250,0.30680,0.52500,0.44390,0.38860
2022,"Norway ",17,0.88790,0.69320,0.80070,0.95280,0.91020
2022,"Oman ",50,0.78340,0.65910,0.74230,0.80670,0.80120
2022,"Pakistan ",150,0.42380,0.36360,0.56580,0.39330,0.31220
2022,"Palau ",132,0.50180,0.22730,0.23730,0.89460,0.37350
2022,"Panama ",82,0.69560,0.51140,0.67410,0.75250,0.66030
2022,"Papua New Guinea ",170,0.32300,0.17050,0.32630,0.49960,0.14300
2022,"Paraguay ",94,0.63320,0.51140,0.60590,0.69470,0.59890
2022,"Peru ",59,0.75240,0.76140,0.80990,0.82070,0.62670
2022,"Philippines ",89,0.65230,0.48860,0.63030,0.76290,0.56380
2022,"Poland ",34,0.84370,0.64770,0.79290,0.90330,0.83480
2022,"Portugal ",38,0.82730,0.72730,0.79540,0.86650,0.82010
2022,"Qatar ",78,0.71490,0.37500,0.60940,0.71500,0.82030
2022,"Republic of Korea ",3,0.95290,0.94320,0.98260,0.90870,0.96740
2022,"Republic of Moldova ",72,0.72510,0.68180,0.73800,0.86130,0.57600
2022,"Romania ",57,0.76190,0.62500,0.68140,0.80900,0.79540
2022,"Russian Federation ",42,0.81620,0.60230,0.73680,0.90650,0.80530
2022,"Australia ",7,0.94050,0.98860,0.93800,1.00000,0.88360
2022,Austria,20,0.88010,0.77270,0.88270,0.90700,0.85050
2022,"Azerbaijan ",83,0.69370,0.38640,0.61190,0.79320,0.67610
2022,"Bahamas ",66,0.72770,0.39770,0.62140,0.76410,0.79760
2022,"Chad ",189,0.18900,0.31820,0.27260,0.17530,0.11910
2022,"Chile ",36,0.83770,0.69320,0.82800,0.88530,0.79990
2022,"China ",43,0.81190,0.86360,0.88760,0.74290,0.80500
2022,"Bahrain ",54,0.77070,0.44320,0.75230,0.81540,0.74440
2022,"Bangladesh ",111,0.56300,0.52270,0.65210,0.59000,0.44690
2022,"Barbados ",79,0.71170,0.39770,0.53880,0.86450,0.73180
2022,"Belarus ",58,0.75800,0.43180,0.53020,0.90110,0.84260
2022,"Belgium ",39,0.82690,0.45450,0.68990,0.96140,0.82940
2022,"Belize ",133,0.50050,0.20450,0.44250,0.67070,0.38820
