,funder_name,funder_round_type,funder_round_name,project_name_mapping,funding_usd
0,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Protocol Guild,2323487.67
1,Optimism Foundation,Retroactive Funding Round,RetroPGF3,geth,1739137.47
2,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Solidity,1478266.86
3,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Erigon,1188410.02
4,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Lighthouse by Sigma Prime,1043482.4749999999
5,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ethers.js,1043482.4749999999
6,Optimism Foundation,Retroactive Funding Round,RetroPGF3,libp2p,1043482.4749999999
7,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hardhat,980873.53
8,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Test in Prod,956525.6050000001
9,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ETHGlobal,888471.43
10,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Remix Project,869568.735
11,Optimism Foundation,Retroactive Funding Round,RetroPGF3,OpenZeppelin,869568.735
12,Optimism Foundation,Retroactive Funding Round,RetroPGF3,DAppNode,869568.735
13,Optimism Foundation,Retroactive Funding Round,RetroPGF3,web3.js,869568.735
14,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Lodestar,869568.735
15,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Nethermind,869568.735
16,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Vyper,869568.735
17,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Infinitism (ERC-4337) - Account Abstraction,869568.735
18,Optimism Foundation,Retroactive Funding Round,RetroPGF3,DefiLlama,869568.735
19,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Protocol Guild,835951.5
20,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Buidl Guidl,796610.185
21,Optimism Foundation,Retroactive Funding Round,RetroPGF3,IPFS,790514.515
22,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Beacon Chain,782611.865
23,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Ethereum Attestation Service,769151.7050000001
24,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Agora,743084.755
25,Optimism Foundation,Retroactive Funding Round,RetroPGF3,L2BEAT,695654.995
26,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Nimbus,695654.995
27,Optimism Foundation,Retroactive Funding Round,RetroPGF3,wagmi,695654.995
28,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Revm,695654.995
29,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Foundry,695654.995
30,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Snapshot,695654.995
31,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Blockscout,695654.995
32,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Sourcify,695654.995
33,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Lattice,683481.015
34,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Gitcoin,617393.805
35,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Otterscan,596277.185
36,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Reth,521741.255
37,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Revoke,521741.255
38,Optimism Foundation,Retroactive Funding Round,RetroPGF3,rotki,521741.255
39,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Giveth,521741.255
