Keywords,Sections,Checked?(POC),Comment (if you want)
⿻ Health Agency,6-2,cFQ,not found
⿻ Health Association,6-2,cFQ,not found
⿻ Interaction,6-4,cFQ,not found
⿻ Rule,5-6,cFQ,not found
⿻-goods Financing,6-2,cFQ,not found
⿻istic,"5-4, 5-6",cFQ,"not found (both 5-4, 5-6)"
⿻istic Ignorance,6-3,cFQ,"update view (typo in candidates, in text: pluralistic ignorance)"
Abundance technocracy (AT),4-0,cFQ,not found
"Acemoglu, Daron",2-0,cFQ,update view (in text: Daron Acemoglu)
Aging Simulation,5-1,cFQ,not found
AI Conversation Model,6-4,cFQ,not found
AI Deep Learning,6-4,cFQ,not found
AI GOOGLE NGRAMS CHART,2-0,cFQ,not found
AI-driven Intervention,5-4,cFQ,not found
Ainulindalë,1-1,cFQ,not found
Antiretroviral Therapie,6-2,cFQ,"update view (typo in candidates, in text: antiretroviral therapy)"
Application Ecosystem,6-2,cFQ,not found
Artistic co-creation,5-3,cFQ,"update view (typo in candidates, in text: Artistic cocreation)"
Athena's tapestry,1-1,cFQ,not found
Attention auction,4-0,cFQ,not found
Automated Clearing House(ACH),4-3,cFQ,"update view (typo in candidates, in text: Automated Clearing Houses (ACHs))"
Basic Antigen,6-2,cFQ,not found
Biomedicine,6-2,cFQ,not found
Bridging the Crowd,5-4,cFQ,update view (in text:  “bridging” the crowd)
British Colonial Development Corporation,6-2,cFQ,not found
Catastrophic Risks,2-0,cFQ,not found
Chaotic States,3-1,cFQ,"update view (in text: ""chaotic"" states)"
charter town,3-3,cFQ,not found
Child Mortality,6-2,cFQ,not found
Climate Change Simulations,5-2,cFQ,not found
Climate hazard,6-2,cFQ,not found
Co-construction of Health Agency,6-2,cFQ,confirmed in second paragraph with italic
Co-creation Relationship,6-4,cFQ,"update view (typo in candidates, in text: cocreation relationship)"
Co-decision Making Processe,6-2,cFQ,not found
Co-writing,5-3,cFQ,"update view (typo in candidates, in text: cowriting)"
Collective Response Model,5-4,cFQ,"changed to ""bridging systems"""
Community Notes (CN),5-4,cFQ,"confirmed in ""Augmented Deliberation"" second paragraph"
Competitive authoritarian regimes,4-0,cFQ,"update view (in text: ""competitive authoritarian"" regimes)"
Competitive Effect,6-0,cFQ,"update view (in text: ""competitive"" effect)"
Context for the association,4-2,cFQ,confirmed in fourth paragraph with italic
Cross-Cultural Exchanges,5-2,cFQ,update view (in text: Cross-cultural exchange)
Darkening Clouds,6-2,cFQ,not found
"De Tocqueville, Alexis",4-2,cFQ,update view (in text: Alexis De Toqueville)
Decentralized Social Networking Protocol (DSNP),4-2,cFQ,update view (in text: Decentralized Social Networking Protocol)
