Keywords	Section(by Human)	Section(by Script)
Digital	1-1	102, 11, 115, 118, 120, 123, 124, 125, 126, 127, 128, 132, 135, 138, 139, 14, 140, 141, 142, 143, 144, 145, 146, 148, 149, 15, 150, 151, 153, 154, 155, 158, 162, 163, 164, 165, 169, 17, 170, 171, 172, 173, 177, 178, 179, 180, 181, 184, 185, 186, 187, 19, 194, 196, 197, 198, 20, 200, 201, 202, 203, 204, 206, 207, 208, 21, 211, 212, 213, 214, 215, 216, 217, 218, 219, 22, 220, 233, 241, 246, 247, 248, 249, 25, 250, 254, 255, 256, 257, 258, 259, 262, 263, 265, 27, 271, 272, 275, 282, 283, 284, 286, 29, 291, 299, 3, 308, 31, 310, 311, 320, 321, 323, 327, 33, 330, 332, 34, 348, 35, 351, 352, 353, 355, 364, 367, 368, 369, 37, 370, 372, 373, 374, 375, 376, 377, 378, 379, 38, 380, 382, 383, 384, 385, 387, 388, 389, 39, 390, 391, 394, 4, 40, 41, 5, 51, 52, 54, 57, 58, 59, 6, 61, 62, 63, 70, 74, 75
Technology	3-0	100, 101, 102, 103, 104, 106, 108, 11, 113, 114, 116, 117, 12, 120, 125, 13, 136, 14, 140, 146, 147, 15, 150, 152, 153, 155, 156, 159, 16, 164, 17, 177, 18, 181, 186, 187, 189, 19, 195, 197, 199, 20, 208, 21, 216, 219, 220, 221, 223, 23, 236, 237, 238, 24, 240, 242, 244, 246, 248, 249, 25, 256, 259, 26, 262, 263, 264, 265, 269, 274, 275, 28, 282, 289, 29, 290, 295, 3, 302, 32, 320, 321, 322, 323, 325, 327, 33, 331, 335, 339, 34, 342, 35, 352, 354, 355, 356, 357, 36, 363, 364, 366, 368, 369, 37, 370, 371, 372, 373, 374, 375, 377, 378, 379, 38, 380, 382, 384, 392, 393, 394, 395, 398, 399, 4, 41, 49, 5, 56, 57, 6, 63, 65, 66, 7, 71, 72, 74, 76, 8, 86, 87, 88, 9, 94
Media	6-0, 6-3	10, 105, 107, 111, 120, 124, 131, 135, 136, 14, 143, 155, 158, 16, 174, 175, 180, 186, 189, 192, 193, 20, 208, 210, 219, 220, 222, 229, 230, 237, 238, 241, 244, 246, 247, 248, 252, 257, 262, 265, 266, 268, 269, 272, 273, 274, 275, 277, 28, 295, 30, 317, 319, 322, 324, 326, 328, 332, 348, 351, 355, 356, 357, 359, 360, 361, 362, 363, 37, 378, 38, 382, 383, 385, 393, 395, 396, 397, 399, 4, 400, 43, 44, 46, 55, 58, 60, 61, 66, 71, 78, 89, 9, 93
Diversity	6-0	11, 130, 137, 154, 158, 159, 164, 170, 178, 187, 189, 216, 218, 223, 224, 225, 227, 228, 23, 230, 231, 233, 234, 235, 236, 237, 244, 260, 261, 265, 268, 269, 270, 276, 280, 283, 284, 286, 287, 289, 29, 290, 294, 298, 299, 300, 301, 302, 303, 308, 315, 318, 319, 323, 325, 326, 327, 328, 337, 340, 341, 353, 357, 360, 361, 363, 364, 366, 39, 390, 391, 393, 394, 396, 399, 4, 50, 53, 6, 67, 72, 74, 80, 82, 83, 84, 85, 86, 87, 89, 90
Democracy	1-1, 2-0, 3-0, 4-5, 5-6, 7-0	10, 100, 101, 102, 104, 11, 115, 116, 12, 120, 125, 127, 128, 129, 13, 136, 138, 14, 143, 163, 177, 19, 21, 216, 217, 218, 22, 220, 221, 222, 223, 23, 230, 266, 268, 271, 272, 277, 28, 286, 29, 290, 292, 297, 299, 3, 303, 307, 309, 311, 318, 328, 35, 36, 360, 37, 372, 373, 38, 383, 388, 392, 394, 397, 40, 41, 43, 44, 45, 47, 49, 5, 50, 51, 52, 6, 66, 67, 69, 7, 70, 71, 72, 8, 87, 88, 89, 9, 92
Market	5-7	10, 100, 101, 102, 11, 13, 132, 14, 15, 150, 153, 17, 174, 186, 194, 203, 207, 212, 213, 214, 218, 221, 222, 223, 228, 231, 233, 236, 244, 259, 268, 27, 275, 279, 281, 282, 283, 286, 293, 298, 3, 300, 303, 304, 305, 306, 307, 308, 309, 31, 311, 312, 314, 315, 316, 321, 322, 324, 325, 328, 34, 342, 344, 345, 347, 349, 35, 350, 354, 36, 361, 370, 371, 372, 375, 385, 387, 388, 391, 4, 58, 61, 83, 85, 9, 90, 94
Internet	1-1, 3-0, 5-4	10, 105, 108, 109, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 124, 125, 126, 128, 131, 134, 135, 140, 143, 144, 15, 157, 158, 159, 16, 160, 162, 164, 165, 171, 173, 177, 18, 184, 186, 19, 193, 197, 199, 212, 213, 215, 216, 217, 218, 219, 222, 255, 258, 272, 275, 28, 280, 30, 312, 319, 327, 355, 357, 36, 369, 37, 374, 376, 377, 379, 389, 391, 394, 49, 5, 51, 61, 74, 9, 95, 98
Taiwan	2-0, 3-0, 4-5, 5-7, 6-1, 6-3, 6-4, 7-0, 7-1	105, 122, 125, 126, 145, 202, 204, 217, 219, 220, 224, 236, 25, 272, 273, 274, 301, 310, 314, 327, 328, 33, 330, 350, 355, 364, 369, 372, 373, 374, 376, 377, 378, 379, 39, 391, 392, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 94, 96
US	7-0	10, 101, 105, 107, 108, 114, 116, 124, 125, 130, 131, 136, 145, 146, 17, 172, 173, 18, 183, 186, 212, 22, 225, 249, 27, 274, 285, 286, 307, 33, 339, 34, 344, 36, 367, 369, 37, 370, 371, 372, 373, 374, 376, 377, 386, 389, 45, 47, 48, 50, 63, 64, 65, 67, 68, 84, 90, 92, 93, 95
Control	4-1	102, 103, 11, 112, 115, 117, 12, 13, 140, 15, 153, 154, 160, 161, 162, 171, 172, 182, 185, 187, 188, 192, 197, 203, 209, 210, 22, 221, 224, 232, 241, 242, 243, 244, 251, 252, 256, 272, 291, 30, 306, 309, 31, 311, 314, 315, 320, 338, 350, 352, 383, 385, 391, 42, 43, 44, 46, 47, 65, 8
Access	4-5	10, 100, 113, 12, 134, 139, 143, 144, 149, 152, 154, 155, 163, 172, 185, 191, 199, 203, 204, 205, 208, 214, 215, 216, 217, 218, 219, 220, 250, 255, 256, 258, 259, 265, 280, 285, 286, 290, 3, 30, 306, 313, 323, 327, 329, 338, 341, 342, 353, 37, 376, 382, 389, 42, 48, 61, 93, 95, 96
Policy	7-0	11, 125, 145, 15, 16, 17, 172, 180, 194, 2, 204, 21, 212, 217, 220, 25, 271, 273, 274, 283, 308, 310, 314, 315, 330, 34, 349, 350, 36, 365, 368, 369, 370, 372, 373, 374, 375, 380, 382, 383, 385, 389, 390, 391, 392, 393, 395, 396, 398, 4, 43, 46, 48, 55, 57, 76, 86
Voting	2-0, 4-3	101, 102, 126, 129, 142, 152, 157, 176, 191, 213, 22, 221, 230, 231, 233, 234, 244, 270, 277, 279, 281, 291, 292, 293, 294, 295, 296, 297, 298, 299, 3, 300, 302, 310, 313, 314, 315, 316, 325, 348, 350, 373, 383, 386, 395, 57, 58, 62, 69, 89, 91, 92
Governments	7-0	11, 114, 124, 13, 130, 131, 140, 15, 150, 156, 159, 166, 173, 185, 186, 19, 20, 202, 21, 23, 244, 25, 27, 281, 288, 308, 31, 314, 318, 327, 348, 350, 361, 362, 368, 369, 378, 379, 38, 380, 381, 384, 390, 394, 398, 8, 89, 90, 91, 92
Infrastructure	5-7, 7-0	11, 118, 121, 126, 128, 141, 150, 153, 171, 200, 201, 203, 204, 206, 213, 217, 218, 219, 220, 259, 288, 291, 308, 329, 339, 341, 368, 369, 370, 372, 373, 375, 376, 377, 378, 379, 380, 381, 382, 383, 386, 387, 389, 390, 398, 47, 51, 94
GFMs	7-1	146, 152, 158, 159, 161, 197, 200, 201, 204, 205, 209, 237, 242, 250, 252, 255, 259, 261, 262, 265, 266, 273, 274, 275, 276, 277, 278, 279, 284, 285, 286, 287, 288, 289, 290, 338, 348, 351, 353, 354, 357, 358, 366, 367, 372, 393, 397
